科目,章节,题目,答案
地理,南方地区,"7.南方的________(________,________,______等)矿产资源非常丰富。",有色金属；锡、铝土、铅锌
地理,西北地区,1.西北地区自然环境的主要特征是________。,干旱
地理,西北地区,2.________导致西北地区自东向西大致呈现____、____的自然景观,降水因素；草原、荒漠
地理,西北地区,3.制约西北地区农业生产的最大因素是水源，因此其农业以________和________为主。,灌溉农业；绿洲农业
地理,西北地区,4.西北地区的灌溉农业主要分布在有“塞上江南”之称的________和________,宁夏平原；河套平原
地理,西北地区,"5.________“天苍苍,野茫茫，风吹草低见牛羊”这句时描写的是________地区的________(农业类型/部门)。",西北；畜牧业
地理,西北地区,6.西北地区的地理位置特点，也是西北地区气候的成因是________。,深居内陆，远离海洋
地理,西北地区,"7.新疆的瓜果特别甜是因为________,________,有利于糖分的积累.",光照充足，昼夜温差大
地理,西北地区,8.西北地区的河流大多数是________(内流河/外流河)河水的补给形式是________。,内流河;高山冰雪融水
地理,西北地区,9.在天山牧场会发生季节轮牧现象是因为气温随海拔的升高而降低，为了适应牧草的生长速度，满足牛羊的食物需要，轮牧有利于保护草场，避免土地荒漠化。,
地理,西北地区,10.西北地区包括省份和行政中心是新疆维吾尔自治区——________、内蒙古自治区——________、________——兰州。乌鲁木齐；呼和浩特；甘肃省,
地理,西北地区,"11.“三山夹两盆”三山指的是：________,________,________，两盆是：________,________。",阿尔泰山、天山、昆仑山脉;准噶尔盆地、塔里木盆地
地理,西北地区,12.西北地区与其他地区的分界线是大兴安岭-阿尔金山-昆仑山脉(________mm降水量线),400
地理,西北地区,13.新疆维吾尔自治区种植的著名纤维作物是：________.,长绒棉
地理,青藏地区,"1.青藏地区自然环境的主要特征是________,主要形成原因是青藏高原________",高寒；海拔高
地理,青藏地区,"2.青藏地区的“三江源”是________，________,________的源头。",黄河，长江，澜沧江
地理,青藏地区,"3.青藏地区主要的粮食作物是________,农业多分布于地势低平的________。",青稞；河谷地带
地理,青藏地区,4.青藏地区有丰富的_______能、________能、________能等清洁能源。,太阳能、地热能、风能
地理,青藏地区,5.韩红歌曲《天路》指的是________铁路，是从________到________。,青藏；青海省的西宁；西藏的拉萨
地理,青藏地区,6.青藏地区包括________、________和________。,青海省、西藏自治区；四川省
地理,青藏地区,"7.青藏高原的自然环境是________,地表情况是________。",高寒；雪山连绵，冰川纵横
地理,青藏地区,8.青藏地区发展农牧业的有利是：________、________、________。不利条件是________，________。,光照充足、昼夜温差大、水源充足；气候寒冷，缺少热量
地理,青藏地区,"9.西藏地区是________(少数民族)的聚居地，他们喜欢信仰________,拉萨有著名的_(建筑名称)。",藏族；佛教；布达拉宫
地理,青藏地区,"10.位于青藏高原上，中国海拔最高的盆地是________,被称为________。",柴达木盆地；聚宝盆
地理,东北地区,"1.东北地区包括________,________,________，简称东北三省(”黑吉辽”)。",黑龙江省、吉林省、辽宁省
地理,东北地区,2.________东北地区的地形以________和为主，山环水绕，沃野千里。,平原、山地
地理,东北地区,"3.东北地区属________,降水多集中在________季，冬季降雪较多。",温带季风气候；夏
地理,东北地区,4.东北地区人数最多的少数民族是________族。女性的传统服装是________。,满；旗袍
地理,东北地区,5.东北地区的城市主要集中在________沿线地区。,交通干线
地理,东北地区,6.东北地区是中国重要的农产品生产基地和________基地。,重工业
地理,东北地区,9.东北地区的植被类型是________。,针叶林
地理,东北地区,10.东北地区的人口主要分布在________。,中部和南部
地理,东北地区,11.________是东北地区北部的中心城市，重要的铁路枢纽，是具有异国情调的城市。,哈尔滨
地理,东北地区,12.________是东北地区中部的中心城市，是中国著名的________基地。,长春；汽车制造
地理,东北地区,"13.________是东北地区________的________和________,名胜古迹众多。",沈阳；最大；综合性中心城市；交通枢纽
地理,东北地区,"14.玉米集中种植在________,________,________省的产量最大。",松嫩平原；辽河平原；吉林省
地理,香港和澳门,"1.香港位于濒临________,珠江口___侧，北与____市相邻。",南海；东，深圳
地理,香港和澳门,2.香港主要由________和________、________组成。,香港岛；九龙、新界
地理,香港和澳门,"3.香港和澳门因为________,一直在大规模的填海造陆。",人多地少
地理,香港和澳门,4.香港历史上曾被________侵占，________年后回归，区旗和区徽是________。,英国；1997；紫荆花
地理,香港和澳门,"5.香港的主要贸易对象是________,联系十分紧密，有________、广深铁路和公路相连。",中国大陆；京九线
地理,香港和澳门,6.香港的主导产业是________。香港被称为“________”,对外贸易；购物天堂
地理,香港和澳门,"7.香港的________十分发达，有亚洲最大的海洋公园、根据《清明上河图》建造的________,世界上最大的________，以及香港迪士尼乐园",旅游业；宋城，青铜坐佛
地理,香港和澳门,8.香港位置上靠近轻工业发达的珠三角，逐渐发展出“前店后厂”的模式，是指产品________在珠江三角洲，产品的________在香港。,生产；销售
地理,香港和澳门,9.澳门位于珠江口________南，北与________市相邻。澳门主要由________、凼仔岛、路环岛组成。,西；珠海；澳门半岛
地理,香港和澳门,10.澳门曾被________侵占，________年回归中国。,葡萄牙；1999
地理,香港和澳门,"11.澳门的区旗和区徽是漂浮在海上的________,有“________”之称呼。",荷花；海上花园
地理,香港和澳门,12.澳门的________和________是主要的经济支柱，有著名的________景点,旅游业；博彩业；大三巴牌坊
地理,珠江三角洲,1.珠江三角洲位于中国________沿海，是由________及其支流冲积而成的三角洲，简称________,南海；珠江；珠三角
地理,珠江三角洲,2.珠三角地理位置上具有毗邻______，近______，______众多的优势，是中国的“,港澳，东南亚，华侨；南大门
地理,珠江三角洲,"3.珠江三角洲发展的模式是”引进来，走出去”,吸引外商投资和外企落户，从境外引进________、________、_________与管理模式，产品主要销往________。主要发展________型经济。",资金；技术、设备；国外；外向
地理,珠江三角洲,4.珠江三角洲区域是由珠江沿岸的城市组成的区域，主要有________等9个城市，是中国改革开放的先行区。,广州、深圳、佛山、珠海、东莞
地理,珠江三角洲,5.珠江三角洲是中国最大的________工业基地。,轻
